GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
springcore-task,com.example.springcore,App,14,0,0,0,3,0,2,0,2,0
springcore-task,com.example.springcore.storage,TraineeStorage,3,0,0,0,1,0,1,0,1,0
springcore-task,com.example.springcore.storage,InMemoryStorageImpl,0,61,0,4,0,12,0,7,0,5
springcore-task,com.example.springcore.storage,TrainerStorage,3,0,0,0,1,0,1,0,1,0
springcore-task,com.example.springcore.storage,TrainingStorage,3,0,0,0,1,0,1,0,1,0
springcore-task,com.example.springcore.dao,TrainingDao,0,97,3,9,0,20,3,16,0,13
springcore-task,com.example.springcore.dao,TraineeDao,0,34,0,0,0,8,0,7,0,7
springcore-task,com.example.springcore.dao,TrainerDao,0,34,0,0,0,8,0,7,0,7
springcore-task,com.example.springcore.model,Trainee.TraineeBuilderImpl,0,7,0,0,0,1,0,2,0,2
springcore-task,com.example.springcore.model,User.UserBuilderImpl,7,0,0,0,1,0,2,0,2,0
springcore-task,com.example.springcore.model,User,249,65,50,0,2,8,33,12,8,12
springcore-task,com.example.springcore.model,Trainer.TrainerBuilderImpl,0,7,0,0,0,1,0,2,0,2
springcore-task,com.example.springcore.model,TrainingType,36,45,8,6,1,3,9,6,3,5
springcore-task,com.example.springcore.model,Trainee,116,32,24,0,2,5,18,6,6,6
springcore-task,com.example.springcore.model,TrainingType.TrainingTypeBuilder,18,0,0,0,1,0,4,0,4,0
springcore-task,com.example.springcore.model,Trainer.TrainerBuilder,6,9,0,0,0,1,1,2,1,2
springcore-task,com.example.springcore.model,Trainer,78,22,16,0,2,4,13,5,5,5
springcore-task,com.example.springcore.model,User.UserBuilder,20,33,0,0,0,1,2,6,2,6
springcore-task,com.example.springcore.model,Trainee.TraineeBuilder,21,3,0,0,0,1,3,1,3,1
springcore-task,com.example.springcore.model,Training.TrainingBuilder,29,46,0,0,0,1,3,7,3,7
springcore-task,com.example.springcore.model,Training,278,68,62,0,1,10,42,10,11,10
springcore-task,com.example.springcore.config,AppConfig,3,0,0,0,1,0,1,0,1,0
springcore-task,com.example.springcore.service,TrainerService,0,115,0,4,0,30,0,9,0,7
springcore-task,com.example.springcore.service,UserCredentialService,0,127,1,11,0,29,1,11,0,6
springcore-task,com.example.springcore.service,TraineeService,0,115,0,4,0,30,0,9,0,7
springcore-task,com.example.springcore.service,TrainingService,0,108,0,4,0,28,0,12,0,10
